# Agent 2 Knowledge Log
# Format: time;event_type;knowledge
0;INIT;{2: {'pet': 'Cat', 'house': 2, 'location': 2, 't': 0}}
4;FinishTrip;{2: {'pet': 'Cat', 'house': 2, 'location': 2, 't': 0}, 4: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 4}}
4;changeHouse;{2: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 4}, 4: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 4}}
61;ChangePet;{2: {'pet': 'Bear', 'house': 4, 'location': 2, 't': 61}, 4: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 4}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}}
116;FinishTrip;{2: {'pet': 'Bear', 'house': 4, 'location': 2, 't': 61}, 4: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 4}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Cat', 'house': 5, 'location': 5, 't': 116}}
116;ChangePet;{2: {'pet': 'Cat', 'house': 4, 'location': 5, 't': 116}, 4: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 4}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Bear', 'house': 5, 'location': 5, 't': 116}}
120;FinishTrip;{2: {'pet': 'Cat', 'house': 4, 'location': 5, 't': 116}, 4: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 4}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 120}}
126;FinishTrip;{2: {'pet': 'Cat', 'house': 4, 'location': 5, 't': 116}, 4: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 4}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Bear', 'house': 5, 'location': 5, 't': 126}}
144;FinishTrip;{2: {'pet': 'Cat', 'house': 4, 'location': 5, 't': 116}, 4: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 4}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Bear', 'house': 5, 'location': 5, 't': 144}}
144;changeHouse;{2: {'pet': 'Cat', 'house': 5, 'location': 5, 't': 144}, 4: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 4}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Bear', 'house': 4, 'location': 5, 't': 144}}
148;FinishTrip;{2: {'pet': 'Cat', 'house': 5, 'location': 5, 't': 144}, 4: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 4}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 148}}
242;FinishTrip;{2: {'pet': 'Cat', 'house': 5, 'location': 5, 't': 144}, 4: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 4}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 242}}
242;changeHouse;{2: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 242}, 4: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 4}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 242}}
252;ChangePet;{2: {'pet': 'Bear', 'house': 4, 'location': 1, 't': 252}, 4: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 4}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Cat', 'house': 5, 'location': 1, 't': 252}}
330;FinishTrip;{2: {'pet': 'Bear', 'house': 4, 'location': 1, 't': 252}, 4: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 4}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Cat', 'house': 5, 'location': 5, 't': 330}}
330;changeHouse;{2: {'pet': 'Bear', 'house': 5, 'location': 5, 't': 330}, 4: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 4}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Cat', 'house': 4, 'location': 5, 't': 330}}
