1;0;StartTrip;Russian;1;6
2;0;StartTrip;Chinese;3;2
3;0;StartTrip;American;6;2
4;0;StartTrip;French;5;6
5;0;StartTrip;English;2;5
6;0;StartTrip;German;4;1
7;1;FinishTrip;0;Russian;6
8;1;StartTrip;Russian;6;1
9;2;FinishTrip;0;German;1
10;2;FinishTrip;0;English;5
11;2;StartTrip;German;1;4
12;2;StartTrip;English;5;2
13;3;FinishTrip;0;Chinese;2
14;3;FinishTrip;English;2
15;3;ChangePet;2;English;Chinese;Zebra;Cat
16;3;StartTrip;Chinese;2;3
17;3;StartTrip;English;2;1
18;4;FinishTrip;German;4
19;4;StartTrip;German;4;1
20;5;FinishTrip;0;American;2
21;5;FinishTrip;Russian;1
22;5;FinishTrip;0;French;6
23;5;StartTrip;American;2;6
24;5;StartTrip;French;6;5
25;5;StartTrip;Russian;1;3
26;6;FinishTrip;0;German;1
27;6;StartTrip;German;1;4
28;7;FinishTrip;Chinese;3
29;7;StartTrip;Chinese;3;4
30;8;FinishTrip;0;English;1
31;8;FinishTrip;German;4
32;8;FinishTrip;French;5
33;8;StartTrip;English;1;2
34;8;StartTrip;French;5;2
35;8;StartTrip;German;4;6
36;9;FinishTrip;0;French;2
37;9;StartTrip;French;2;5
38;11;FinishTrip;0;German;6
39;11;FinishTrip;French;5
40;11;StartTrip;German;6;4
41;11;StartTrip;French;5;4
42;12;FinishTrip;0;Chinese;4
43;12;FinishTrip;German;4
44;12;StartTrip;Chinese;4;3
45;12;StartTrip;German;4;1
46;13;FinishTrip;0;Russian;3
47;13;StartTrip;Russian;3;1
48;14;FinishTrip;0;German;1
49;14;FinishTrip;English;2
50;14;StartTrip;German;1;4
51;14;StartTrip;English;2;3
52;15;FinishTrip;American;6
53;15;FinishTrip;0;French;4
54;15;FinishTrip;Chinese;3
55;15;StartTrip;American;6;3
56;15;StartTrip;Chinese;3;5
57;15;StartTrip;French;4;5
58;16;FinishTrip;German;4
59;16;StartTrip;German;4;6
60;17;FinishTrip;0;American;3
61;17;FinishTrip;0;Chinese;5
62;17;StartTrip;American;3;6
63;17;StartTrip;Chinese;5;3
64;18;FinishTrip;0;English;3
65;18;StartTrip;English;3;2
66;19;FinishTrip;0;German;6
67;19;StartTrip;German;6;4
68;20;FinishTrip;German;4
69;20;StartTrip;German;4;6
70;21;FinishTrip;French;5
71;21;FinishTrip;English;2
72;21;FinishTrip;American;6
73;21;FinishTrip;Chinese;3
74;21;StartTrip;French;5;6
75;21;StartTrip;Chinese;3;2
76;21;StartTrip;English;2;1
77;21;StartTrip;American;6;2
78;23;FinishTrip;0;German;6
79;23;StartTrip;German;6;4
80;24;FinishTrip;0;Chinese;2
81;24;FinishTrip;German;4
82;24;StartTrip;Chinese;2;3
83;24;StartTrip;German;4;6
84;26;FinishTrip;0;American;2
85;26;FinishTrip;0;English;1
86;26;FinishTrip;0;French;6
87;26;StartTrip;American;2;6
88;26;StartTrip;French;6;5
89;26;StartTrip;English;1;2
90;27;FinishTrip;0;German;6
91;27;StartTrip;German;6;4
92;28;FinishTrip;Chinese;3
93;28;FinishTrip;German;4
94;28;StartTrip;Chinese;3;4
95;28;StartTrip;German;4;1
96;29;FinishTrip;French;5
97;29;StartTrip;French;5;6
98;30;FinishTrip;0;German;1
99;30;StartTrip;German;1;4
100;32;FinishTrip;English;2
101;32;FinishTrip;German;4
